"filename", "language", "JSON with Comments", "HTML", "XML", "TypeScript", "JSON", "JavaScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Workspace\Edu_Learn_Next\MIGRATION_SUMMARY.md", "HTML", 0, 192, 0, 0, 0, 0, 0, 0, 0, 49, 241
"e:\Workspace\Edu_Learn_Next\NEXTJS_MIGRATION_COMPLETE.md", "HTML", 0, 163, 0, 0, 0, 0, 0, 0, 0, 30, 193
"e:\Workspace\Edu_Learn_Next\README.md", "HTML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"e:\Workspace\Edu_Learn_Next\app\(root)\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 9, 128
"e:\Workspace\Edu_Learn_Next\app\(root)\events\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 336, 0, 0, 23, 359
"e:\Workspace\Edu_Learn_Next\app\(root)\features\[type]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 141, 0, 4, 19, 164
"e:\Workspace\Edu_Learn_Next\app\(root)\features\vocabulary\[folderId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 290, 0, 9, 23, 322
"e:\Workspace\Edu_Learn_Next\app\(root)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"e:\Workspace\Edu_Learn_Next\app\(root)\news\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 350, 0, 0, 21, 371
"e:\Workspace\Edu_Learn_Next\app\(root)\news\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 148, 0, 0, 14, 162
"e:\Workspace\Edu_Learn_Next\app\(root)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"e:\Workspace\Edu_Learn_Next\app\(root)\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 239, 0, 0, 14, 253
"e:\Workspace\Edu_Learn_Next\app\admin\class-chat\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"e:\Workspace\Edu_Learn_Next\app\admin\class-chat\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 315, 0, 8, 15, 338
"e:\Workspace\Edu_Learn_Next\app\admin\classes\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 342, 0, 27, 44, 413
"e:\Workspace\Edu_Learn_Next\app\admin\classes\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 6, 13, 109
"e:\Workspace\Edu_Learn_Next\app\admin\classes\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 163, 0, 10, 21, 194
"e:\Workspace\Edu_Learn_Next\app\admin\content\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 3, 10, 97
"e:\Workspace\Edu_Learn_Next\app\admin\exercises\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 214, 0, 0, 17, 231
"e:\Workspace\Edu_Learn_Next\app\admin\exercises\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 5, 13, 91
"e:\Workspace\Edu_Learn_Next\app\admin\exercises\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 2, 11, 67
"e:\Workspace\Edu_Learn_Next\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 3, 13, 118
"e:\Workspace\Edu_Learn_Next\app\admin\news\handle\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 0, 10, 131
"e:\Workspace\Edu_Learn_Next\app\admin\news\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 1, 7, 37
"e:\Workspace\Edu_Learn_Next\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 199, 0, 4, 12, 215
"e:\Workspace\Edu_Learn_Next\app\admin\students\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 11, 15, 140
"e:\Workspace\Edu_Learn_Next\app\admin\students\handle\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 1, 6, 17
"e:\Workspace\Edu_Learn_Next\app\admin\students\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 2, 9, 59
"e:\Workspace\Edu_Learn_Next\app\api\v1\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\Edu_Learn_Next\app\auth\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"e:\Workspace\Edu_Learn_Next\app\auth\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 445, 0, 0, 37, 482
"e:\Workspace\Edu_Learn_Next\app\components\auth\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 7, 4, 19
"e:\Workspace\Edu_Learn_Next\app\components\auth\SignIn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 109, 0, 2, 12, 123
"e:\Workspace\Edu_Learn_Next\app\components\auth\SignUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 150, 0, 2, 14, 166
"e:\Workspace\Edu_Learn_Next\app\components\chat\ChatCenter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 5, 10, 140
"e:\Workspace\Edu_Learn_Next\app\components\chat\ChatLeftSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 3, 5, 55
"e:\Workspace\Edu_Learn_Next\app\components\chat\ChatRightSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 3, 8, 76
"e:\Workspace\Edu_Learn_Next\app\components\chat\CreateGroupChatModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"e:\Workspace\Edu_Learn_Next\app\components\chat\EmptyChatCenter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 5, 18
"e:\Workspace\Edu_Learn_Next\app\components\chat\GroupChatList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 2, 7, 72
"e:\Workspace\Edu_Learn_Next\app\components\chat\PrivateChatList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 2, 8, 79
"e:\Workspace\Edu_Learn_Next\app\components\class_chat\ClassChatHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 1, 5, 43
"e:\Workspace\Edu_Learn_Next\app\components\class_chat\ClassChatSearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 4, 10, 148
"e:\Workspace\Edu_Learn_Next\app\components\class_chat\ClassChatTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 158, 0, 0, 8, 166
"e:\Workspace\Edu_Learn_Next\app\components\classes\AddSingleStudentModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 173, 0, 15, 23, 211
"e:\Workspace\Edu_Learn_Next\app\components\classes\BannedListModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 173, 0, 9, 21, 203
"e:\Workspace\Edu_Learn_Next\app\components\classes\ClassHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"e:\Workspace\Edu_Learn_Next\app\components\classes\ClassInfoCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 5, 43
"e:\Workspace\Edu_Learn_Next\app\components\classes\ClassStudentsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 135, 0, 0, 8, 143
"e:\Workspace\Edu_Learn_Next\app\components\classes\ClassesHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 1, 4, 39
"e:\Workspace\Edu_Learn_Next\app\components\classes\ClassesSearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 4, 10, 133
"e:\Workspace\Edu_Learn_Next\app\components\classes\ClassesTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 167, 0, 0, 8, 175
"e:\Workspace\Edu_Learn_Next\app\components\classes\CreateClassModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 109, 0, 2, 15, 126
"e:\Workspace\Edu_Learn_Next\app\components\classes\UpdateClassModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 104, 0, 0, 12, 116
"e:\Workspace\Edu_Learn_Next\app\components\common\CSVUploadForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 302, 0, 5, 43, 350
"e:\Workspace\Edu_Learn_Next\app\components\common\CustomCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 6, 71
"e:\Workspace\Edu_Learn_Next\app\components\community\CommentModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 266, 0, 8, 16, 290
"e:\Workspace\Edu_Learn_Next\app\components\community\CommunityHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 5, 47
"e:\Workspace\Edu_Learn_Next\app\components\community\CommunitySearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 124, 0, 4, 10, 138
"e:\Workspace\Edu_Learn_Next\app\components\community\CreatePostModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 1, 8, 99
"e:\Workspace\Edu_Learn_Next\app\components\community\PostCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 0, 7, 95
"e:\Workspace\Edu_Learn_Next\app\components\community\ShareModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 127, 0, 4, 13, 144
"e:\Workspace\Edu_Learn_Next\app\components\content\ContentHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 1, 5, 53
"e:\Workspace\Edu_Learn_Next\app\components\content\ContentSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 93, 0, 3, 7, 103
"e:\Workspace\Edu_Learn_Next\app\components\content\ContributeContentModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"e:\Workspace\Edu_Learn_Next\app\components\content\getViewerUrl.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 7, 3, 17
"e:\Workspace\Edu_Learn_Next\app\components\documents\CardDocument.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 5, 9, 100
"e:\Workspace\Edu_Learn_Next\app\components\documents\DocumentGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 4, 41
"e:\Workspace\Edu_Learn_Next\app\components\documents\DocumentPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 15, 6, 47
"e:\Workspace\Edu_Learn_Next\app\components\documents\DocumentPreviewModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 5, 6, 56
"e:\Workspace\Edu_Learn_Next\app\components\documents\DocumentSearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 185, 0, 5, 14, 204
"e:\Workspace\Edu_Learn_Next\app\components\documents\DocumentsHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 1, 5, 33
"e:\Workspace\Edu_Learn_Next\app\components\documents\index.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 3, 5, 14
"e:\Workspace\Edu_Learn_Next\app\components\documents\useDocumentPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 6, 9, 42
"e:\Workspace\Edu_Learn_Next\app\components\exercises\ExerciseContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 4, 10, 90
"e:\Workspace\Edu_Learn_Next\app\components\exercises\ExerciseCreateHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 5, 14, 124
"e:\Workspace\Edu_Learn_Next\app\components\exercises\ExerciseHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 4, 66
"e:\Workspace\Edu_Learn_Next\app\components\exercises\ExercisesHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 1, 8, 59
"e:\Workspace\Edu_Learn_Next\app\components\exercises\ExercisesSearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 4, 10, 133
"e:\Workspace\Edu_Learn_Next\app\components\exercises\ExercisesTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 144, 0, 0, 8, 152
"e:\Workspace\Edu_Learn_Next\app\components\exercises\FileAttachmentSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 4, 61
"e:\Workspace\Edu_Learn_Next\app\components\exercises\GradeTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 128, 0, 0, 9, 137
"e:\Workspace\Edu_Learn_Next\app\components\exercises\SubmissionList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 6, 50
"e:\Workspace\Edu_Learn_Next\app\components\form\FormActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 4, 49
"e:\Workspace\Edu_Learn_Next\app\components\form\PageHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"e:\Workspace\Edu_Learn_Next\app\components\home\Banner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 5, 46
"e:\Workspace\Edu_Learn_Next\app\components\home\Events.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 6, 128
"e:\Workspace\Edu_Learn_Next\app\components\home\Features.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 9, 115
"e:\Workspace\Edu_Learn_Next\app\components\home\News.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 6, 73
"e:\Workspace\Edu_Learn_Next\app\components\import_export\ImportExportConfig.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 7, 17, 158
"e:\Workspace\Edu_Learn_Next\app\components\layout\AIChatPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 207, 0, 9, 31, 247
"e:\Workspace\Edu_Learn_Next\app\components\layout\AdminSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 3, 7, 78
"e:\Workspace\Edu_Learn_Next\app\components\layout\DashboardFooter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 1, 7, 45
"e:\Workspace\Edu_Learn_Next\app\components\layout\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 0, 6, 113
"e:\Workspace\Edu_Learn_Next\app\components\layout\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"e:\Workspace\Edu_Learn_Next\app\components\layout\HeaderClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 215, 0, 1, 27, 243
"e:\Workspace\Edu_Learn_Next\app\components\layout\NotificationPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 167, 0, 5, 13, 185
"e:\Workspace\Edu_Learn_Next\app\components\layout\SuperAdminSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 4, 10, 91
"e:\Workspace\Edu_Learn_Next\app\components\layout\UserSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 3, 7, 76
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsBasicFields.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 7, 34
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 3, 46
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsContentEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 12, 90
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsFormActions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsFormHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"e:\Workspace\Edu_Learn_Next\app\components\news\NewsHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 1, 5, 41
